model,checkpoint,task,success,error,cached
LLM360/Amber,ckpt_000,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_032,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_065,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_097,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_130,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_163,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_195,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_228,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_261,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_293,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_326,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,ckpt_358,compositional_translate_eng_sp_reverse,False,division by zero,False
LLM360/Amber,main,compositional_translate_eng_sp_reverse,False,division by zero,False
