model,checkpoint,compositional_plural_last
LLM360/Amber,ckpt_000,0.0
LLM360/Amber,ckpt_032,0.8363636363636363
LLM360/Amber,ckpt_065,0.8242424242424242
LLM360/Amber,ckpt_097,0.8606060606060606
LLM360/Amber,ckpt_130,0.8303030303030303
LLM360/Amber,ckpt_163,0.7878787878787878
LLM360/Amber,ckpt_195,0.8303030303030303
LLM360/Amber,ckpt_228,0.7878787878787878
LLM360/Amber,ckpt_261,0.7636363636363637
LLM360/Amber,ckpt_293,0.7696969696969697
LLM360/Amber,ckpt_326,0.8121212121212121
LLM360/Amber,ckpt_358,0.8303030303030303
LLM360/Amber,main,0.7878787878787878
