model,checkpoint,compositional_plural_last
allenai/OLMo-2-1124-7B,main,0.703030303030303
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.8666666666666667
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.8
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.7515151515151515
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.8
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.8545454545454545
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.8242424242424242
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.7515151515151515
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.8181818181818182
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.7454545454545455
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.806060606060606
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.8787878787878788
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.8424242424242424
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.793939393939394
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.7757575757575758
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.793939393939394
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.8545454545454545
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.8181818181818182
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.8121212121212121
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.8606060606060606
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.8424242424242424
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.8484848484848485
